# x, y, gas saturation [-], CO2 concentration in water [kg/m3]
1.385000,0.005000,0.000000,1.104395
1.395000,0.005000,0.000000,1.062003
1.405000,0.005000,0.000000,1.022184
1.415000,0.005000,0.000000,0.996580
1.425000,0.005000,0.000000,0.923017
1.435000,0.005000,0.000000,0.865077
1.445000,0.005000,0.000000,0.805435
1.455000,0.005000,0.000000,0.632572
1.465000,0.005000,0.000000,0.515163
1.475000,0.005000,0.000000,0.386593
1.485000,0.005000,0.000000,0.149525
1.495000,0.005000,0.000000,0.071979
1.505000,0.005000,0.000000,0.025752
1.515000,0.005000,0.000000,0.001960
1.525000,0.005000,0.000000,0.000428
1.535000,0.005000,0.000000,0.000093
1.545000,0.005000,0.000000,0.000026
1.555000,0.005000,0.000000,0.000025
1.565000,0.005000,0.000000,0.000024
1.575000,0.005000,0.000000,0.000024
1.585000,0.005000,0.000000,0.000024
1.595000,0.005000,0.000000,0.000024
1.605000,0.005000,0.000000,0.000024
1.615000,0.005000,0.000000,0.000024
1.625000,0.005000,0.000000,0.000024
1.635000,0.005000,0.000000,0.000024
1.645000,0.005000,0.000000,0.000024
1.655000,0.005000,0.000000,0.000024
1.665000,0.005000,0.000000,0.000024
1.675000,0.005000,0.000000,0.000024
1.685000,0.005000,0.000000,0.000024
1.695000,0.005000,0.000000,0.000024
1.705000,0.005000,0.000000,0.000024
1.715000,0.005000,0.000000,0.000024
1.725000,0.005000,0.000000,0.000024
1.735000,0.005000,0.000000,0.000024
1.745000,0.005000,0.000000,0.000024
1.755000,0.005000,0.000000,0.000024
1.765000,0.005000,0.000000,0.000024
1.775000,0.005000,0.000000,0.000024
1.785000,0.005000,0.000000,0.000024
1.795000,0.005000,0.000000,0.000024
1.805000,0.005000,0.000000,0.000024
1.815000,0.005000,0.000000,0.000024
1.825000,0.005000,0.000000,0.000024
1.835000,0.005000,0.000000,0.000024
1.845000,0.005000,0.000000,0.000024
1.855000,0.005000,0.000000,0.000024
1.865000,0.005000,0.000000,0.000024
1.875000,0.005000,0.000000,0.000024
1.885000,0.005000,0.000000,0.000024
1.895000,0.005000,0.000000,0.000024
1.905000,0.005000,0.000000,0.000024
1.915000,0.005000,0.000000,0.000024
1.925000,0.005000,0.000000,0.000024
1.935000,0.005000,0.000000,0.000024
1.945000,0.005000,0.000000,0.000024
1.955000,0.005000,0.000000,0.000024
1.965000,0.005000,0.000000,0.000024
1.975000,0.005000,0.000000,0.000024
1.985000,0.005000,0.000000,0.000024
1.995000,0.005000,0.000000,0.000024
2.005000,0.005000,0.000000,0.000024
2.015000,0.005000,0.000000,0.000024
2.025000,0.005000,0.000000,0.000024
2.035000,0.005000,0.000000,0.000024
2.045000,0.005000,0.000000,0.000024
2.055000,0.005000,0.000000,0.000024
2.065000,0.005000,0.000000,0.000024
2.075000,0.005000,0.000000,0.000024
2.085000,0.005000,0.000000,0.000024
2.095000,0.005000,0.000000,0.000024
2.105000,0.005000,0.000000,0.000024
2.115000,0.005000,0.000000,0.000024
2.125000,0.005000,0.000000,0.000024
2.135000,0.005000,0.000000,0.000024
2.145000,0.005000,0.000000,0.000024
2.155000,0.005000,0.000000,0.000024
2.165000,0.005000,0.000000,0.000024
2.175000,0.005000,0.000000,0.000024
2.185000,0.005000,0.000000,0.000024
2.195000,0.005000,0.000000,0.000024
2.205000,0.005000,0.000000,0.000024
2.215000,0.005000,0.000000,0.000024
2.225000,0.005000,0.000000,0.000024
2.235000,0.005000,0.000000,0.000024
2.245000,0.005000,0.000000,0.000024
2.255000,0.005000,0.000000,0.000024
2.265000,0.005000,0.000000,0.000024
2.275000,0.005000,0.000000,0.000024
2.285000,0.005000,0.000000,0.000024
2.295000,0.005000,0.000000,0.000024
2.305000,0.005000,0.000000,0.000024
2.315000,0.005000,0.000000,0.000024
2.325000,0.005000,0.000000,0.000024
2.335000,0.005000,0.000000,0.000024
2.345000,0.005000,0.000000,0.000024
2.355000,0.005000,0.000000,0.000024
2.365000,0.005000,0.000000,0.000024
2.375000,0.005000,0.000000,0.000024
2.385000,0.005000,0.000000,0.000024
2.395000,0.005000,0.000000,0.000024
2.405000,0.005000,0.000000,0.000024
2.415000,0.005000,0.000000,0.000024
2.425000,0.005000,0.000000,0.000024
2.435000,0.005000,0.000000,0.000024
2.445000,0.005000,0.000000,0.000024
2.455000,0.005000,0.000000,0.000024
2.465000,0.005000,0.000000,0.000024
2.475000,0.005000,0.000000,0.000024
2.485000,0.005000,0.000000,0.000024
2.495000,0.005000,0.000000,0.000024
2.505000,0.005000,0.000000,0.000024
2.515000,0.005000,0.000000,0.000024
2.525000,0.005000,0.000000,0.000024
2.535000,0.005000,0.000000,0.000024
2.545000,0.005000,0.000000,0.000024
2.555000,0.005000,0.000000,0.000024
2.565000,0.005000,0.000000,0.000024
2.575000,0.005000,0.000000,0.000024
2.585000,0.005000,0.000000,0.000024
2.595000,0.005000,0.000000,0.000024
2.605000,0.005000,0.000000,0.000024
2.615000,0.005000,0.000000,0.000024
2.625000,0.005000,0.000000,0.000024
2.635000,0.005000,0.000000,0.000024
2.645000,0.005000,0.000000,0.000024
2.655000,0.005000,0.000000,0.000024
2.665000,0.005000,0.000000,0.000024
2.675000,0.005000,0.000000,0.000024
2.685000,0.005000,0.000000,0.000024
2.695000,0.005000,0.000000,0.000024
2.705000,0.005000,0.000000,0.000024
2.715000,0.005000,0.000000,0.000024
2.725000,0.005000,0.000000,0.000024
2.735000,0.005000,0.000000,0.000024
2.745000,0.005000,0.000000,0.000024
2.755000,0.005000,0.000000,0.000024
2.765000,0.005000,0.000000,0.000024
2.775000,0.005000,0.000000,0.000024
2.785000,0.005000,0.000000,0.000024
2.795000,0.005000,0.000000,0.000024
2.805000,0.005000,0.000000,0.000024
2.815000,0.005000,0.000000,0.000024
2.825000,0.005000,0.000000,0.000024
2.835000,0.005000,0.000000,0.000024
2.845000,0.005000,0.000000,0.000024
2.855000,0.005000,0.000000,0.000024
0.005000,0.015000,0.000000,0.001854
0.015000,0.015000,0.000000,0.011762
0.025000,0.015000,0.000000,0.066924
0.035000,0.015000,0.000000,0.175119
0.045000,0.015000,0.000000,0.177996
0.055000,0.015000,0.000000,0.313511
0.065000,0.015000,0.000000,0.455640
0.075000,0.015000,0.000000,0.455640
0.085000,0.015000,0.000000,0.598107
0.095000,0.015000,0.000000,0.697151
0.105000,0.015000,0.000000,0.697151
0.115000,0.015000,0.000000,0.671025
0.125000,0.015000,0.000000,0.666666
0.135000,0.015000,0.000000,0.666666
0.145000,0.015000,0.000000,0.682835
0.155000,0.015000,0.000000,0.734005
0.165000,0.015000,0.000000,0.764537
0.175000,0.015000,0.000000,0.809689
0.185000,0.015000,0.000000,0.867895
0.195000,0.015000,0.000000,0.891604
0.205000,0.015000,0.000000,0.919328
